title,view_count,like_count,comment_count,favorite_count,durations,published_at,published_date,published_time
"Autumn Relax With Starbucks Jazz - Starbucks Music Collection 2023 - Bossa Nova Jazz For Work, Study",1284,11,2,0,PT11H41M16S,2023-09-06 18:59:54+00:00,2023-09-06,18:59:54
"Starbucks Jazz Music ☕ Bossa Nova Piano & Relaxing Instrumental Jazz Coffee Music for Work, Study",4398,33,5,0,P2DT1S,2023-09-03 22:00:07+00:00,2023-09-03,22:00:07
"Starbucks Positive Jazz ☕ Morning Coffee Music & Smooth Bossa Nova Piano Jazz for Relax, Work, Study",1706,23,4,0,P2DT1S,2023-09-02 22:00:12+00:00,2023-09-02,22:00:12
"Relaxing Starbucks Inspired Coffee Music - Coffee Shop Music, Cafe Jazz Music, Starbucks Music 2023",1285,16,0,0,PT11H42M9S,2023-09-02 11:52:16+00:00,2023-09-02,11:52:16
Good Mood September Jazz ☕ Positive Morning Starbucks Coffee Jazz Music & Bossa Nova Piano For Relax,1226,16,0,0,P2DT1S,2023-09-01 22:00:08+00:00,2023-09-01,22:00:08
Happy September Jazz ☕ Relaxing Starbucks Coffee Music And Smooth  Bossa Nova Piano to Positive Mood,5150,31,5,0,P1DT1S,2023-08-31 22:00:10+00:00,2023-08-31,22:00:10
"Elegant September Jazz ☕ Starbucks Autumn Jazz & Bossa Nova Music Positive Mood to Relax, Study,Work",890,12,4,0,PT11H42M27S,2023-08-31 12:11:48+00:00,2023-08-31,12:11:48
Sweet Jazz ☕ Relaxing Autumn Jazz  & Positive Starbucks Cafe Bossa Nova Piano to Uplifting Your Mood,1787,17,0,0,PT11H54M59S,2023-08-29 12:18:31+00:00,2023-08-29,12:18:31
Happy Autumn Jazz ☕ Delicate Morning Starbucks Coffee Jazz Music & Bossa Nova Piano For Better Moods,2192,16,5,0,P2DT1S,2023-08-28 22:00:10+00:00,2023-08-28,22:00:10
"Starbucks Jazz Music Collection 2023 - 12 Hours Smooth Jazz for Studying, Work, Relax, Sleep",712,4,0,0,PT11H54M58S,2023-08-26 13:42:09+00:00,2023-08-26,13:42:09
